0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:47 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:47 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:47 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:47 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:47 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:49 +0700] "GET /DemoSpringMVC/DeleteCart/19 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:49 +0700] "GET /DemoSpringMVC/gio-hang HTTP/1.1" 200 11057
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:49 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:49 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:49 +0700] "GET /DemoSpringMVC/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:49 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:49 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:56 +0700] "GET /DemoSpringMVC/ HTTP/1.1" 200 28315
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:56 +0700] "GET /DemoSpringMVC/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:56 +0700] "GET /DemoSpringMVC/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:56 +0700] "GET /DemoSpringMVC/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/May/2023:13:42:56 +0700] "GET /DemoSpringMVC/assets/img/5.png HTTP/1.1" 404 682
